Object,Mouth,Temperature,Precp,RH,StnPres,WS
2010-臺北市-1,1,15.18,127.44,81.91,992.55,2.16
2010-新北市-1,1,15.32,191.78,85.24,1001.76,2.05
2010-桃園市-1,1,15.15,120.56,76.33,999.78,2.07
2010-基隆市-1,1,16.25,197.45,80,1013.65,5.55
2010-新竹縣-1,1,14.04,100.99,79.67,977.69,1.38
2010-新竹市-1,1,15.6,71.5,81,1019.8,1
2010-苗栗縣-1,1,14.5,72,79.75,988.22,1.38
2010-臺中市-1,1,13.47,40.76,76.5,1013.6,2.73
2010-彰化縣-1,1,16.8,23.17,0,0,2.25
2010-南投縣-1,1,8.84,50.8,70.5,773.95,2.04
2010-雲林縣-1,1,15.77,24.33,0,0,1.3
2010-嘉義縣-1,1,12.37,29.52,82,875.8,0.67
2010-嘉義市-1,1,17.2,19.5,75,1016.6,2
2010-臺南市-1,1,17.73,13.45,70.5,1012.68,2.07
2010-高雄市-1,1,18.98,18.75,72,1018.13,0.9
2010-屏東縣-1,1,18.86,30.19,68,998.38,2.04
2010-宜蘭縣-1,1,15.29,191.28,80,980.92,1.95
2010-花蓮縣-1,1,15.29,95.93,75,967.32,1.22
2010-臺東縣-1,1,16.57,69.17,75.5,963.34,2.18
2010-金門縣-1,1,13.3,25.6,75,1019.8,3.2
2010-連江縣-1,1,10.5,41.3,88,1013,3.5
2010-澎湖縣-1,1,18.15,6.4,75.5,1017.05,6.95
2010-臺北市-2,2,16.08,186.15,87,989.01,1.79
2010-新北市-2,2,16.16,275.06,90.32,998.06,1.68
2010-桃園市-2,2,15.78,236.11,85.33,996.3,1.62
2010-基隆市-2,2,16.7,244.2,86.5,1009.55,5
2010-新竹縣-2,2,15.18,269.25,85.44,974.56,1.34
2010-新竹市-2,2,16.5,208,86,1016.4,1.2
2010-苗栗縣-2,2,15.78,236.73,84.25,985.03,1.48
2010-臺中市-2,2,15.1,139.22,81,1010.4,3.17
2010-彰化縣-2,2,18.4,74.33,0,0,2.25
2010-南投縣-2,2,10.09,156.13,78.5,772.55,2.62
2010-雲林縣-2,2,17.63,72.33,0,0,1.7
2010-嘉義縣-2,2,14.47,102.8,79,874,0.93
2010-嘉義市-2,2,19.1,53.8,77,1013.4,2.3
2010-臺南市-2,2,19.78,39.95,74.5,1009.52,2.2
2010-高雄市-2,2,20.78,60.75,74,1015.1,0.93
2010-屏東縣-2,2,20.61,19.35,76,995.44,1.49
2010-宜蘭縣-2,2,17.02,167.11,82,976.94,1.88
2010-花蓮縣-2,2,17.17,134.75,77,963.55,1.28
2010-臺東縣-2,2,18.76,59.32,79.75,959.84,2
2010-金門縣-2,2,13.3,95.9,84,1015.9,2.7
2010-連江縣-2,2,11.4,154.9,91,1008.6,3.8
2010-澎湖縣-2,2,19.25,17.15,82.5,1013.75,6.05
2010-臺北市-3,3,18.07,48.28,78.45,989.63,2.01
2010-新北市-3,3,17.95,71.25,82.4,998.44,1.87
2010-桃園市-3,3,18.02,79.11,75.67,996.75,1.7
2010-基隆市-3,3,18.25,103.3,78.5,1010.3,5.2
2010-新竹縣-3,3,17.19,86.64,78.11,975.01,1.3
2010-新竹市-3,3,18.6,69.5,79,1016.6,1.1
2010-苗栗縣-3,3,17.76,68.64,78.25,985.4,1.4
2010-臺中市-3,3,17.23,36.01,73.5,1010.55,2.8
2010-彰化縣-3,3,20.9,31.5,0,0,2.05
2010-南投縣-3,3,12.06,40.1,72,773.8,2.16
2010-雲林縣-3,3,19.83,10.17,0,0,1.45
2010-嘉義縣-3,3,15.83,17.59,74,874.65,0.8
2010-嘉義市-3,3,21.4,6.9,73,1013.6,2.2
2010-臺南市-3,3,22.28,3.28,66,1009.48,2.03
2010-高雄市-3,3,22.93,14.04,69,1015.23,0.93
2010-屏東縣-3,3,21.84,17.38,72,995.86,1.79
2010-宜蘭縣-3,3,18.31,40.67,75,977.84,2.09
2010-花蓮縣-3,3,18.12,46.6,72,964.62,1.3
2010-臺東縣-3,3,19.01,47.33,76.5,961.24,2.14
2010-金門縣-3,3,15.4,41.4,77,1015.9,2.9
2010-連江縣-3,3,12.6,170,85,1008.9,3.4
2010-澎湖縣-3,3,21.45,1.8,77,1013.85,5.7
2010-臺北市-4,4,18.97,120.18,82.73,987.47,2.05
2010-新北市-4,4,19.07,173.31,86.2,996.33,1.83
2010-桃園市-4,4,19.13,155.94,79.83,994.57,1.78
2010-基隆市-4,4,19.65,242.95,80.5,1008.1,5.15
2010-新竹縣-4,4,18.43,185.75,82.89,973,1.23
2010-新竹市-4,4,20,91.5,82,1014.3,1
2010-苗栗縣-4,4,19.02,172.27,82.25,983.38,1.26
2010-臺中市-4,4,18.43,151.37,78,1008.5,2.8
2010-彰化縣-4,4,21.85,104.5,0,0,2
2010-南投縣-4,4,13.38,195.68,82.5,773.4,2.29
2010-雲林縣-4,4,20.77,76.83,0,0,1.45
2010-嘉義縣-4,4,17.33,125.79,86,873.5,0.8
2010-嘉義市-4,4,22.2,69,78,1011.6,2.1
2010-臺南市-4,4,23.42,43.51,70,1007.48,2.03
2010-高雄市-4,4,24.13,78.43,74,1013.23,0.97
2010-屏東縣-4,4,22.76,53.54,71,994.18,1.83
2010-宜蘭縣-4,4,19,131.19,79.5,974.44,1.72
2010-花蓮縣-4,4,19.22,115.88,72,965.22,1.26
2010-臺東縣-4,4,20.16,93.14,80,959.51,2.15
2010-金門縣-4,4,17.1,118,80,1013.7,2.7
2010-連江縣-4,4,14.5,293,88,1006.7,3.6
2010-澎湖縣-4,4,22.25,24.75,80.5,1011.85,5.6
2010-臺北市-5,5,23.67,172.13,81.27,981.72,1.69
2010-新北市-5,5,23.51,169.77,85.2,990.42,1.41
2010-桃園市-5,5,23.65,220.56,78.83,988.77,1.2
2010-基隆市-5,5,23.85,162,80.5,1001.8,3.95
2010-新竹縣-5,5,22.6,237.89,82.67,967.72,0.84
2010-新竹市-5,5,24.5,270,82,1008.3,1.1
2010-苗栗縣-5,5,23.36,240.27,81,977.98,1.02
2010-臺中市-5,5,22.13,178.1,77,1002.95,2.47
2010-彰化縣-5,5,26.1,89.33,0,0,1.6
2010-南投縣-5,5,15.85,253.13,82.5,771.25,2.05
2010-雲林縣-5,5,24.53,113.83,0,0,1.35
2010-嘉義縣-5,5,19.6,334.02,89,869.95,0.83
2010-嘉義市-5,5,26.5,103.8,77,1006.3,1.9
2010-臺南市-5,5,27.28,212.3,70,1002.28,1.75
2010-高雄市-5,5,27.27,414.54,75,1008.33,0.95
2010-屏東縣-5,5,25.36,374.22,75,989.42,1.49
2010-宜蘭縣-5,5,22.98,92.58,79,969.12,1.52
