,不良(101-199)(站日),縣市,時間
0,40,臺北市,2010年 1月
1,72,新北市,
2,14,桃園市,
3,1,基隆市,
4,8,新竹縣,
5,3,新竹市,
6,8,苗栗縣,
7,47,臺中市,
8,8,彰化縣,
9,25,南投縣,
10,29,雲林縣,
11,47,嘉義縣,
12,11,嘉義市,
13,59,臺南市,
14,193,高雄市,
15,85,屏東縣,
16,3,宜蘭縣,
17,1,花蓮縣,
18,6,臺東縣,
19,0,金門縣,
20,0,連江縣,
21,0,澎湖縣,
22,0,臺北市,2010年 2月
23,0,新北市,
24,0,桃園市,
25,0,基隆市,
26,0,新竹縣,
27,0,新竹市,
28,0,苗栗縣,
29,0,臺中市,
30,1,彰化縣,
31,0,南投縣,
32,1,雲林縣,
33,1,嘉義縣,
34,1,嘉義市,
35,4,臺南市,
36,7,高雄市,
37,1,屏東縣,
38,0,宜蘭縣,
39,0,花蓮縣,
40,0,臺東縣,
41,0,金門縣,
42,0,連江縣,
43,0,澎湖縣,
44,0,臺北市,2010年 3月
45,3,新北市,
46,1,桃園市,
47,0,基隆市,
48,1,新竹縣,
49,0,新竹市,
50,0,苗栗縣,
51,3,臺中市,
52,0,彰化縣,
53,0,南投縣,
54,0,雲林縣,
55,4,嘉義縣,
56,1,嘉義市,
57,8,臺南市,
58,7,高雄市,
59,4,屏東縣,
60,0,宜蘭縣,
61,0,花蓮縣,
62,0,臺東縣,
63,0,金門縣,
64,0,連江縣,
65,0,澎湖縣,
66,2,臺北市,2010年 4月
67,4,新北市,
68,1,桃園市,
69,0,基隆市,
70,0,新竹縣,
71,0,新竹市,
72,0,苗栗縣,
73,5,臺中市,
74,0,彰化縣,
75,2,南投縣,
76,4,雲林縣,
77,3,嘉義縣,
78,0,嘉義市,
79,0,臺南市,
80,7,高雄市,
81,2,屏東縣,
82,0,宜蘭縣,
83,0,花蓮縣,
84,0,臺東縣,
85,0,金門縣,
86,0,連江縣,
87,0,澎湖縣,
88,5,臺北市,2010年 5月
89,10,新北市,
90,4,桃園市,
91,1,基隆市,
92,2,新竹縣,
93,1,新竹市,
94,2,苗栗縣,
95,3,臺中市,
96,2,彰化縣,
97,2,南投縣,
